floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,205,11.67,4.98,-65,-50,,,,-68,,,-88,12.36,e,sağ taraf 1. sara en orta
1,D,205,11.67,4.98,-65,-47,-65,-76,,,,,-83,12.25,d,sağ taraf 1. sara en orta
1,D,205,11.67,4.98,-67,-55,-65,-79,,,,,-83,12.25,d,sağ taraf 1. sara en orta
1,D,205,11.67,4.98,-68,-55,-62,-82,,-86,,,-80,12.26,d,sağ taraf 1. sara en orta
1,D,205,12.69,4.98,-47,-47,-67,,-84,-74,-85,,-78,12.24,e,sağ taraf 2. sıra
1,D,205,12.69,4.98,-51,-49,,-67,-84,-74,-89,,-78,12.24,e,sağ taraf 2. sıra
1,D,205,12.69,4.98,-63,-53,-60,,,-74,-83,-86,,12.30,d,sağ taraf 2. sıra
1,D,205,12.69,4.98,-62,-54,-61,,,,,,-80,12.30,d,sağ taraf 2. sıra
1,D,205,13.61,4.98,-61,-52,-64,,,-80,,,-86,12.35,d,sağ taraf 3.sıra
1,D,205,13.61,4.98,-61,52,-66,,,-80,,-86,,12.37,d,sağ taraf 3.sıra
1,D,205,13.61,4.98,-65,-51,-67,,,-80,,,,12.37,d,sağ taraf 3.sıra
1,D,205,13.61,4.98,-54,-47,-60,,-89,-72,,,-85,12.43,e,sağ taraf 3.sıra
1,D,205,13.61,4.98,-53,-50,-60,-73,-87,-72,-83,,-85,12.45,e,sağ taraf 3.sıra
1,D,205,14.53,4.98,-63,-44,-61,-81,-90,-76,-90,,,12.48,d,sağ taraf 4.sıra
1,D,205,14.53,4.98,-62,-50,-61,-80,-90,-80,,,,12.49,d,sağ taraf 4.sıra
1,D,205,14.53,4.98,-50,-54,-59,-73,-87,,-83,,,12.50,e,sağ taraf 4.sıra
1,D,205,14.53,4.98,-47,,-59,-73,-89,,-84,,,12.50,e,sağ taraf 4.sıra
1,D,205,15.44,4.98,-58,-45,-65,-86,-90,-80,,-86,,12.50,d,sağ taraf 5.sıra
1,D,205,15.44,4.98,-56,-44,-68,,-90,-80,,-80,-86,12.54,d,sağ taraf 5.sıra
1,D,205,15.44,4.98,-47,-44,-64,-73,-84,-77,-84,,-91,12.56,e,sağ taraf 5.sıra
1,D,205,15.44,4.98,-48,-44,-69,,-80,-77,,,-91,12.56,e,sağ taraf 5.sıra
1,D,205,15.44,4.98,-53,-44,-67,-73,-88,-77,-81,-86,,12.58,e,sağ taraf 5.sıra
1,D,205,16.37,4.98,-57,-39,-67,,-88,-72,-86,,-80,12.56,d,sağ taraf 6.sıra
1,D,205,16.37,4.98,-58,-37,-65,,-85,-74,-88,-86,,12.56,d,sağ taraf 6.sıra
1,D,205,16.37,4.98,-48,-42,-73,-76,-85,-77,-83,,,13.03,e,sağ taraf 6.sıra
1,D,205,16.37,4.98,-44,-40,-73,,-84,-81,,,,13.03,e,sağ taraf 6.sıra
1,D,205,17.32,4.98,-58,--36,-69,,-86,,,-80,,13.03,d,sağ taraf 7.sıra
1,D,205,17.32,4.98,-61,-34,-69,,-86,,,,,13.03,d,sağ taraf 7.sıra
1,D,205,17.32,4.98,-45,-42,-73,,-81,-74,,,,13.08,e,sağ taraf 7.sıra
1,D,205,17.32,4.98,-47,-44,,,-78,-68,,,,13.09,e,sağ taraf 7.sıra
1,D,205,18.24,4.98,-48,-37,-66,,-78,-66,,,-76,13.11,e,sağ taraf 8.sıra
1,D,205,18.24,4.98,-49,-31,-66,,-79,-65,,,-76,13.11,e,sağ taraf 8.sıra
