floor,blook,class,x,y,açıklama,time,telefon,ac:a3:1e:62:18:e0,ac:a3:1e:62:18:f0,ac:a3:1e:61:fe:00,ac:a3:1e:61:fe:10,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30,9c:1c:12:34:81:20,9c:1c:12:34:81:30,24:de:c6:3c:f3:80
1,D,206,24.15,503,en sağ 1. pencere karşısı duvar,15.43,e,-52,-69,-64,-65,-74,-80,-73,,-72,,-84
1,D,206,24.15,503,en sağ 1. pencere karşısı duvar,15.44,e,-53,-69,-63,-66,-74,-80,,,-69,,
1,D,206,26.10,503,en sağ 1. ve 2. pencere arası duvar askılık tarafı,15.45,d,-54,-79,-64,-83,-86,,-86,-86,-76,-90,-86
1,D,206,26.10,503,en sağ 1. ve 2. pencere arası duvar askılık tarafı,15.46,d,-57,-79,,-82,-86,,,-86,-76,,
1,D,206,26.10,503,en sağ 1. ve 2. pencere arası duvar askılık tarafı,15.46,e,-52,-71,-74,-72,-69,-83,,,-85,-82,
1,D,206,26.10,503,en sağ 1. ve 2. pencere arası duvar askılık tarafı,15.48,e,-52,-69,-67,-72,-70,,,,,,
1,D,206,26.10,503,en sağ 1. ve 2. pencere arası duvar askılık tarafı,15.48,e,-53,-67,-61,-73,-72,-86,,,-79,-79,
1,D,206,27.90,503,en sağ 2. pencere karşısı duvar askılık tarafı,15.50,d,-58,-79,-72,-76,-86,,,-86,,,
1,D,206,27.90,503,en sağ 2. pencere karşısı duvar askılık tarafı,15.50,e,-54,-73,-75,-69,-68,-86,-73,,-71,-76,
1,D,206,27.90,503,en sağ 2. pencere karşısı duvar askılık tarafı,15.51,e,-54,-73,-75,-69,-68,-86,-73,,-71,-76,
1,D,206,29.82,503,en sağ 2. ve 3. pencere arası duvar,15.53,d,-68,-84,-78,-82,-86,,-80,-88,-86,,-86
1,D,206,29.82,503,en sağ 2. ve 3. pencere arası duvar,15.53,d,-69,-86,-76,,,,,-90,-86,,
1,D,206,29.82,503,en sağ 2. ve 3. pencere arası duvar,15.53,e,-58,-74,-74,-73,-68,,-74,,,,-87
1,D,206,29.82,503,en sağ 2. ve 3. pencere arası duvar,15.53,e,-63,-76,-73,-78,,,-75,,-86,,-87
1,D,206,31.60,503,en sağ 3. pencere karşısı duvar telefonluk tarafı,15.55,d,-65,-88,-73,-80,-76,,-74,-86,-86,,
1,D,206,31.60,503,en sağ 3. pencere karşısı duvar telefonluk tarafı,15.56,d,-61,-90,-70,-80,-76,,-74,-82,,,
1,D,206,31.60,503,en sağ 3. pencere karşısı duvar telefonluk tarafı,15.56,e,-61,-74,-72,-76,,,-72,,-83,-86,-87
1,D,206,31.60,503,en sağ 3. pencere karşısı duvar telefonluk tarafı,15.56,e,-59,-73,-71,-75,,,-70,,-80,-86,
1,D,206,33.50,503,en sağ kürsü karşısı kapı tarafı,16.00,d,-61,-86,-74,-79,,,-72,-88,-86,,
1,D,206,33.50,503,en sağ kürsü karşısı kapı tarafı,16.00,d,-64,-86,,-79,,,,-86,-86,,
1,D,206,33.50,503,en sağ kürsü karşısı kapı tarafı,16.02,e,-61,-76,-72,-75,-84,-73,-70,,-80,-86,
1,D,206,33.50,503,en sağ kürsü karşısı kapı tarafı,16.02,e,-64,-80,-74,,-84,-73,,,,,
1,D,206,35.75,503,en sağ en köşe kapı tarafı,16.02,d,-66,-79,-86,-82,-80,-90,-74,-81,-86,,
1,D,206,35.75,503,en sağ en köşe kapı tarafı,16.03,d,-70,-79,-86,-82,-80,-90,-74,-76,-86,,
1,D,206,35.75,503,en sağ en köşe kapı tarafı,16.04,e,-67,-75,-76,-71,-80,-80,,,-88,,
1,D,206,35.75,503,en sağ en köşe kapı tarafı,16.04,e,-70,-70,-78,-71,-77,-88,,,-88,,
