class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-63,-100,-61,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-66,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-78,-71,-64,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-79,-72,-67,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 7. sıra koltuk tarafı,-82,-72,-67,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.40,3.32,en orta en arka 8. sıra masa orta tarafı,-62,-71,-73,-74,-81,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-60,-71,-72,-74,-81,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-59,-71,-71,-76,-81,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-60,-69,-64,-75,-82,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-74,-73,-69,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-69,-71,-65,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.90,3.32,en orta en arka 8. sıra masa orta tarafı,-64,-70,-62,-84,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-69,-67,-100,-70,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-69,-67,-100,-68,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-80,-69,-66,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-71,-69,-62,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-69,-70,-64,-77,-100,-100,-100,-100,-100,-100,-100
204,D,1,9.40,3.32,en orta en on sıra nın bir adı adım onu,-72,-74,-67,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-62,-100,-58,-67,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-63,-100,-60,-67,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-62,-100,-58,-67,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-66,-66,-60,-68,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-74,-77,-62,-76,-83,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-74,-76,-59,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-76,-78,-56,-74,-86,-100,-100,-100,-100,-100,-100
204,D,1,10.90,3.32,en orta kürsü tahta onu,-76,-80,-57,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.70,4.95,en sağ en arka 1. sıra,-70,-71,-66,-72,-100,-100,-100,-100,-100,-100,-100
